Title,Link,Type
Researchers Warn of Privilege Escalation Risks in Google's Vertex AI ML Platform,https://thehackernews.com/2024/11/researchers-warn-of-privilege.html,AI
Chinese Hackers Exploit T-Mobile and Other U.S. Telecoms in Broader Espionage Campaign,https://thehackernews.com/2024/11/chinese-hackers-exploit-t-mobile-and.html,Data breach
"Critical WordPress Anti-Spam Plugin Flaws Expose 200,000+ Sites to Remote Attacks",https://thehackernews.com/2024/11/critical-wordpress-anti-spam-plugin.html,Vulnerability
Starbucks using pen and paper after Blue Yonder supply chain ransomware attack,https://cybernews.com/news/blue-yonder-starbucks-ransomware-attack-grocery-supply-chain-thanksgiving/,Ransomware
RomCom Exploits Zero-Day Firefox and Windows Flaws in Sophisticated Cyberattacks,https://thehackernews.com/2024/11/romcom-exploits-zero-day-firefox-and.html,Vulnerability
Flying Under the Radar - Security Evasion Techniques,https://thehackernews.com/2024/11/flying-under-radar-security-evasion.html,Informational
Finastra discloses large-scale data breach,https://cybernews.com/news/finastra-data-breach/,Data breach
Microsoft AI will make you speak foreign tongue on Teams: what could go wrong,https://cybernews.com/news/microsoft-ai-interpreter-teams-threat/,AI
Apple Releases Urgent Updates to Patch Actively Exploited Zero-Day Vulnerabilities,https://thehackernews.com/2024/11/apple-releases-urgent-updates-to-patch.html,Vulnerability
San Francisco Ballet hacked data posted for sale by two ransomware gangs,https://cybernews.com/news/san-francisco-ballet-company-ransomware-attack-meow-inc-ransom/,Ransomware
Oracle Warns of Agile PLM Vulnerability Currently Under Active Exploitation,https://thehackernews.com/2024/11/oracle-warns-of-agile-plm-vulnerability.html,Vulnerability
Decades-Old Security Vulnerabilities Found in Ubuntu's Needrestart Package,https://thehackernews.com/2024/11/decades-old-security-vulnerabilities.html,Vulnerability
Darknet Services Fuel Holiday Scams and E-Commerce Exploits,https://www.infosecurity-magazine.com/news/darknet-services-fuel-holiday-scams/,Phishing
Chinese APT Gelsemium Targets Linux Systems with New WolfsBane Backdoor,https://thehackernews.com/2024/11/chinese-apt-gelsemium-targets-linux.html,Malware
Russian Hackers Deploy HATVIBE and CHERRYSPY Malware Across Europe and Asia,https://thehackernews.com/2024/11/russian-hackers-deploy-hatvibe-and.html,Malware
"Underseas data cables severed between Finland-Germany, Lithuania-Sweden, sabotage suspected",https://cybernews.com/news/finland-germany-underseas-data-cable-cut-lithuania-sweden-sabatoge-russia/,Sabotage
High-Severity Flaw in PostgreSQL Allows Hackers to Exploit Environment Variables,https://thehackernews.com/2024/11/high-severity-flaw-in-postgresql-allows.html,Vulnerability
Canadian Suspect Arrested Over Snowflake Customer Breach and Extortion Attacks,https://thehackernews.com/2024/11/canadian-suspect-arrested-over.html,Data breach
Why Phishing-Resistant MFA Is No Longer Optional: The Hidden Risks of Legacy MFA,https://thehackernews.com/2024/10/why-phishing-resistant-mfa-is-no-longer.html,Phishing
Researchers Uncover Malware Using BYOVD to Bypass Antivirus Protections,https://thehackernews.com/2024/11/researchers-uncover-malware-using-byovd.html,Malware
"Almost 500 million Instagram users had their data scraped, hackers claim",https://cybernews.com/news/instagram-user-data-scraping/,Data breach
From Misuse to Abuse: AI Risks and Attacks,https://thehackernews.com/2024/10/from-misuse-to-abuse-ai-risks-and.html,AI
Urgent: Critical WordPress Plugin Vulnerability Exposes Over 4 Million Sites,https://thehackernews.com/2024/11/urgent-critical-wordpress-plugin.html,Vulnerability
OvrC Platform Vulnerabilities Expose IoT Devices to Remote Attacks and Code Execution,https://thehackernews.com/2024/11/ovrc-platform-vulnerabilities-expose.html,Vulnerability
NFL Super Bowl entertainment partner victim of cyberattack,https://cybernews.com/news/super-bowl-producer-van-wagner-breached/,Malware
Blue Yonder ransomware attack disrupts grocery store supply chain,https://www.bleepingcomputer.com/news/security/blue-yonder-ransomware-attack-disrupts-grocery-store-supply-chain/,Ransomware
"Cyber Story Time: The Boy Who Cried ""Secure!""",https://thehackernews.com/2024/11/cyber-story-time-boy-who-cried-secure.html,Informational
Over half of Ohio state capital exposed in massive cyberattack,https://cybernews.com/news/city-of-columbus-ohio-cyberattack/,Data breach
